,comments,label
26,퍼블이.진짜예쁨.. 골드도 생각보다 이뻤고 근데.그파는 생각보다 흠.....,
27,퍼블 쓰는중인데 색 영롱하고 넘 이뻐요,
28,이번에 진짜 잘나온드ㅅ,
29,"삼성 애플 콜라보안되나여 젭알,",
30,아 진짜 이브다,
31,벌써 마감 벗겨지는 사진 보고 지금 멈칫함.. 원래 12로 바꿀 생가ㄱ이였는데ㅠ,
32,그건 중국 스토어래요 사람들이 칼로 긁어보고 난리라 그런거라고 하더라구요!,
33,아 정말요?! 하긴 일상에서 떨구지 않는 이상 칼로 긁는 정도의 상해는 안입겠네요..!!,
34,와 예쁘다 옆은 처음봤어요,
35,와 색깔 진짜 잘뽑았다,
36,아 바꿀가...,
37,골드도 너무 예뻐요... 진심 영롱 그 자체고급스럽게 잘 나왔더라구요,
38,저 이거 쓰는데 생각보다 가벼워서 너무 좋아여,
39,그래파이트도 jjin,
40,근데 12는 왜 그랬어 말해봐 사과...용달블루 쌈무그린 무슨일이야..,
41,"오 진짜 옆면 홀로그램? 예쁘다.. 색도 고급지고.. 쌈무 그린, 화이트같은 밝은색도 예쁘던데ㅠㅠ어두운 계열은 고급지고 밝은 계열은 예쁘고.. 진짜 삼섬이 아이폰 색감의 반만 따라갔으면...",
42,"진짜 아이폰 특유의 고급진 마감, 색은 삼성이 절대 못따라가는듯..ㅠ 삼성 디자인좀 어뜨케 해봐..",
43,"오늘 받았는데 그래파이트 진짜 넘흐예쁨,,",
44,미챴다... 싸이드...,
45,예쁘단,
46,사이드 유광 ...케이스 안 씌우면 계속 지문 닦고 있어야 겠더라구요 ㅠ,
47,친하게 지내욥,
48,진짜 실물로 봐야되요 ㅠ,
49,12 프로 사길 진짜 잘했어요 최고,
50,오잉? 밑에 충전기에여? 들어있어여?,
51,케이블은 줘요 어댑터가 빠졌어요,
52,아하 감사합니다~,
53,흑흑 미니야 날 기다려죠..,
54,지금 실버 이미 주문한 상태인데 퍼블 예뻐서 너무 다시 고민돼요 ㅠㅠㅠㅠㅠㅠ,
55,",,,1년만 더 버티고 12로 바꿀 걸ㅠㅠㅠㅠㅠ",
56,아냐 11유저는 울지 않아...,
57,프로 진짜 너무 예뻐요.. 매일 감탄중... 사랑해 그파...,
58,아니 잇섭ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ등장해서 깜짝 놀랬네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
59,친하게 지내자는 거 너무 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
60,쌤쏭 색상에 힘을 내줘... 노트 못 잃어...ㅠ,
61,와 진짜 색감은 애플이...어떻게 저런 색을 뽑을 수 있는거지??ㅠㅠㅠ,
62,그 이번에 화면 이상하다는게 12인가요 12프로인가요??,
63,Very Good,
64,이쁘네욤,
65,예브다,
66,너무 받고 싶어요... 내 아이폰 어디쯤 왔니...,
67,전 그 필터카메라 굴곡 땜시... 앱 쓰면 그런 건가요? 그거 땜에 ;ㅅ; 한국은 카메라 무음 안 돼서 회사에서 필카 후면으로 찍을 때 있거든요 ㅠㅠ,
68,잇섭님 글 요즘 인포에서 부쩍 보이네요 반갑 ㅎㅎ,
69,충전기랑 이어폰만 주면 살텐데.... 후.......,
70,헐 색상 너무 예뻐요 ㅠ,
71,퍼블 지이이인짜 예뻐요...ㅎㅎㅎㅎ 제폰,
72,후.. 갤럭시로 갈아타니까 또 이쁜 디자인이 나오네,
73,잇섭님 영상에서 감격의 목소리가 너무 귀여우셨어ㅋㅋㅋㅋㅋㅋㅋ,
74,ㅋㅋㅋㅋㅋ말투 너무 음성지원된다,
75,다 조은데 어댑터 왜 안주냐거 .. 이 애플 넘드라 ......,
76,충전기 좀 주세요.. 저 아이패드 고속 충전기밖ㅇㅔ 없다구요ㅠ하지만 구매했고....,
77,와 저게 지금까지 굴러가는게 신기하네,
78,연아의 햅틱이면 2004-2005년쯤 아닌가요?,
79,한 2010년 이때쯤 이에요!!,
80,아 감사합니다!,
81,2009년즘일거에요,
82,감사해요!,
83,와 ㄹㅇ 노인학댘ㅋㅋㅋㅋ노폰학대인데욬ㅋㅋㅋㅋㅋ,
84,우˗ˋˏ 와 ˎˊ˗ ...,
85,?!?!?! 10년 가까이 쓰신 건가요...대단,
86,👏,
87,👏,
88,생각보다 멀쩡하네...,
89,와 저게 지금까지 굴러가는게 신기하네,
90,연아의 햅틱이면 2004-2005년쯤 아닌가요?,
91,한 2010년 이때쯤 이에요!!,
92,아 감사합니다!,
93,2009년즘일거에요,
94,감사해요!,
95,와 ㄹㅇ 노인학댘ㅋㅋㅋㅋ노폰학대인데욬ㅋㅋㅋㅋㅋ,
96,우˗ˋˏ 와 ˎˊ˗ ...,
97,?!?!?! 10년 가까이 쓰신 건가요...대단,
98,👏,
99,👏,
100,생각보다 멀쩡하네...,
101,저도 모르죠,
102,엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ별개로 se2가 출시되는 당시 환율에 비해 좀 저렴하게 측정된건 사실입니다.,
103,ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ이재용ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
104,😮,
105,🤔,
106,se좋나요??,
107,😮,
108,저도 모르죠,
109,엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ별개로 se2가 출시되는 당시 환율에 비해 좀 저렴하게 측정된건 사실입니다.,
110,ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ이재용ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
111,😮,
112,🤔,
113,se좋나요??,
114,😮,
115,한국에서 보지 말아요,
116,그대들의 나락을위해 그랜절...,
117,😤,
118,함께해서 더러웠고 다신 보지 말자,
119,😤,
120,한국에서 보지 말아요,
121,그대들의 나락을위해 그랜절...,
122,😤,
123,함께해서 더러웠고 다신 보지 말자,
124,😤,
125,😤,
126,하하...,
127,저런 초기 불량 있으면 애플은 교환 가능한가요??,
128,"언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw",
129,저런 경우는 어떻게 보상해주나요??,
130,갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ,
131,😤,
132,하하...,
133,저런 초기 불량 있으면 애플은 교환 가능한가요??,
134,"언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw",
135,저런 경우는 어떻게 보상해주나요??,
136,갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ,
137,😤,
138,하하...,
139,저런 초기 불량 있으면 애플은 교환 가능한가요??,
140,"언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw",
141,저런 경우는 어떻게 보상해주나요??,
142,갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ,
143,녹조현상?? 이었나 그거 있나 보네요 불량은,
144,저만 뭐가 다른지 모르겠나요?,
145,어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!,
146,거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ,
147,"저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰",
148,바꿔주겠죠 12 곧 오는데 불안......,
149,홀로그램이 되었군요,
150,와우 당첨안되길 빌어야겠네요,
151,12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다,
152,프로는 상관 없는겅가요??,
153,넵 상관없어요,
154,근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..,
155,왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..,
156,프로랑 급나누기져,
157,12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데,
158,boe는 리퍼용이요,
159,12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다,
160,근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요,
161,언더케이지가 피해자라서 다행?인 면도 있다고 봄,
162,정상제품에는 왜 보이스메일 탭이 없는거죠??,
163,녹조현상?? 이었나 그거 있나 보네요 불량은,
164,저만 뭐가 다른지 모르겠나요?,
165,어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!,
166,거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ,
167,"저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰",
168,바꿔주겠죠 12 곧 오는데 불안......,
169,홀로그램이 되었군요,
170,와우 당첨안되길 빌어야겠네요,
171,12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다,
172,프로는 상관 없는겅가요??,
173,넵 상관없어요,
174,근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..,
175,왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..,
176,프로랑 급나누기져,
177,12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데,
178,boe는 리퍼용이요,
179,12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다,
180,근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요,
181,언더케이지가 피해자라서 다행?인 면도 있다고 봄,
182,정상제품에는 왜 보이스메일 탭이 없는거죠??,
183,녹조현상?? 이었나 그거 있나 보네요 불량은,
184,저만 뭐가 다른지 모르겠나요?,
185,어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!,
186,거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ,
187,"저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰",
188,바꿔주겠죠 12 곧 오는데 불안......,
189,홀로그램이 되었군요,
190,와우 당첨안되길 빌어야겠네요,
191,12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다,
192,프로는 상관 없는겅가요??,
193,넵 상관없어요,
194,근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..,
195,왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..,
196,프로랑 급나누기져,
197,12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데,
198,boe는 리퍼용이요,
199,12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다,
200,근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요,
201,언더케이지가 피해자라서 다행?인 면도 있다고 봄,
202,정상제품에는 왜 보이스메일 탭이 없는거죠??,
203,저 애니메이션 뜨는게 끝인가요...?다른기능없이 오직 저것..하나...?,
204,👏,
205,"투명 케이스 단 돈 59,000원",
206,교통카드 역할 되면 젛겟는데..,
207,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저건 뭐 실용성 하나도 없이 낄 때 이쁘기만한ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ비싸기는 엄청 비싼...,
208,저게 기존 케이스 끼우면 맥세이프 자력이 떨어지는걸 보완하는 케이스라네요근데 넘 몬생ㄱ...,
209,애플페이 진짜 진지하게 생각좀 해보지 저런거 말고ㅠㅠ,
210,"네 그것이 먼저왔습니다,,,폰은 언제올까여...",
211,(내용 없이 첨부한 댓글),
212,저게 그래서 먼 필욘데염,
213,저런게 왜 필요한 거지,
214,막상 사람들이 다 사주니까 본인들도 시도하는건가ㅋㅋ,
215,하ㅏ아아.. 이럴거 같았지만 정말 이러네...,
216,이어폰은 없애도 충전기는 내줘라 맨날 망가지고 잃어버리니께,
217,이걸 왜 따라해 삼성 ㅜㅜㅜ 그러지마 ㅜㅜㅜ,
218,샘송......그러지마라...,
219,좋은거만 따라해요 제발ㅠㅠㅠ,
220,식당가서 냅킨이나 물티슈 제공 안하는 기분인데요,
221,애플이랑 삼성 대결구도로 있기때문에 거의 시장 독점이긴 한데.. 어쨌건 두 회사에서 휴대폰을 구매하는 사람이 대부분이잖아요 애플도 구성 빼고 삼성도 구성 빼도 둘 다 같이 빼니 크게 달라질건 없으니까 두 회사 모두 이득을 보겠지만 소비자는 기분 나빠요,
222,이러지마라 삼성... 나 휴대폰 뭐쓰라고 이제ㅠㅠ,
223,충전기 버리지마 삼성...,
224,삼성아 나쁜것좀 따라하지 마라.....,
225,"감성이나 그런거 따라해줘 저런 거 따라하지마,,, 아니 이어폰은 빼도 충전기는 안돼,,;,,,,,,ㅠㅠㅠ",
226,아 진짜 싫...,
227,폰바꾸는김에 충전기도 바꾸는데... 안주면...짜증나내요..가격이 많이 떨어지는것도 핸드폰가격이 싼것도 아닌데요... 일체형 배터리되서 1년마다 갈아주는것도 4 5만원씩이고 배터리 또싸고  5G요금제는 비싸고....ㅠ 충전기까지 빼버린다니 너무하네용...,
228,ㅠㅠㅠㅠㅠㅠㅠㅠ아이폰 충전기 뺀 거 짜증나서 갤럭시 샀는데 갤럭시도ㅠㅠㅠㅠㅠ,
229,진짜 따라쟁이 이런건 따라하지말지,
230,왜그래,
231,삼성은 다른 길을 가지... 애플에 회의적이어서 삼성으로 돌아서려니까 저 모양이네. 차라리 이 기회에 팬층 확 끌어오지,
232,하......,
233,아니 조롱을 하지말던가..,
234,주고 아이폰으로 떠나갈 것같은 사람 잡아야지....,
235,서로 왜 별로인 걸 그리 따라하시나..,
236,아니라고 해주세여..,
237,아니 대체 왜......,
238,짜증...그렇다고 엘지로 갈 수도 없고...이러면 걍 애플로 갈까,
239,왜이런거 따라해 삼성..ㅜㅜㅜ,
240,"너네 왜그래 진짜,,,,",
241,엥? 아니 갤럭시로 갈아타려로 했는데 이게 무슨...?,
242,아,
243,최악...,
244,이런건 따라하지 말지 ㅠㅠ 하...ㅠㅠ 아쉽네여,
245,충전기 좀 줘요...폰바꿀때면 이미 충전기 작살나있단말여,
246,"아니 대체 왜 따라하는거냐구여,,,",
247,신청하면 무료로 주면 더 좋은거아닌가,
248,아니면 지금은 미국에서 주고있는 데 후에는 아예 빠진다는 얘긴가,
249,빠진만큼 가격만 낮춰서 나온다면 오히려 환영,
250,ㅋㅋㅋㅋㅋㅋㅋ저런거 따라하지 말라구,
251,쓸데없는것만 따라하네...,
252,엥? 너무한거 아니냐구....,
253,아니 이걸 왜... 다음엔 엘지가야하나...,
254,왜 자꾸 이상한거 따라하는거죠? 이어폰은 버즈 쓰면 되니깐 충전기라도 줘요ㅠㅠㅠ,
255,?,
256,아 니는 또 왜그러는데... 나 갤럭시 갈아타려고 했단말이야... 20사야되나...,
257,노트 20 기본 구성품에 이어폰 있던데 뭐죠..?,
258,아.......ㅜㅜ,
259,삼성 왜그래 진짜... 잘하자,
260,안돼ㅜㅜㅜ,
261,별걸 다 따라하네,
262,그걸 왜 따라해요..... ㅠ,
263,아니 장점을 버려버리네,
264,원가절감 따라할거면 조롱이나 하지 말던가 멋없게 ㅜㅜ,
265,아....정말..,
266,이럴때일수록 평소처럼 충전기 이어폰만 줘도애플보다 낫다라는 소리 듣고 칭찬 받을텐데 생각이 너무 없네요;,
267,안돼,
268,아니 삼성 제발ㅠㅠㅠ,
269,진짜 너무한닽ㅋㅋㅋㅋㅋㅋ,
270,아니 왜............. 그냥 충전기 줘요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,
271,살 핸드폰이 없네여...,
272,샘송 왜그래요...,
273,아니 내년에 핸드폰 바꿀라구 기대하고 있었는데...,
274,아니 역으로 이걸 이용할 수도 있을 거 같은데 왜 따라하냐구요 샘송...,
275,그래도 서비스는 삼성이 낫네 했는데...아이폰으로 바꿀 명분 하나 더 제공해줘서 고오맙디ㅏ,
276,삼성..제발 하지마...,
277,왜그래..,
278,"일 진짜 못해,,,",
279,헤엥 이어폰은 주지!!!,
280,씁...자꾸 안좋은 것만 따라하네 애플이 저렇게 해도 잘 팔리니까 본인들도 그렇게 할거란 말인가...?,
281,아 오ㅑ저래,
282,헐?,
283,삼성은 어차피 씨타입 호환가능해서 괜찮아요,
284,지금까지 집에 충전기가 4~5개라..,
285,뭔 소리예요,
286,오히려 그대로 유지해야 이미지랑 고객 유치에 유리할텐데.. 에휴휴휴,
287,뭘 이런걸 따라하나,
288,선택사항으로 두면 좋겠는데요...하..,
289,저것만 제대로 챙겨줘도 이미지 챙길 수 있을텐데 왜 저래,
290,충전기 뺀 걸 조롱했어요...?,
291,야,
292,왜.. 왜 그러는거에요?,
293,그걸 왜 빼요..???,
294,아 진짜 왜 그래...,
295,삼성은 ㄹㅇ 괜찮은 호환 되니까요,
296,"근데 삼성은 충전기가 다른 것도 아니라 문제 없어보이는데요,,, 물론 충전기랑 이어폰 제공을 안 하면 그만큼 가격을 낮춘다는 전제하에요",
297,그르게요. 그만큼 가격낮추고 추가구성 옵션으로 넣어놓으면 더 좋지않나요?,
298,아니 그럼 아이폰에서 갤럭시로 바꾸는 사람은 또 사야겠네요... 근데 이쯤되면 애플이 불쌍해질지경 맨날 욕은 먼저 먹고 막상 까놓고보면 다른 회사들도 저러니....,
299,이어폰 신청하면 무료로 준다는데요??? 걍 기사 제대로 안읽는분 많아보이ㅁ...,
300,?,
301,근데 뭐 시장성 원리 아닌가요 충전기 미지급에 욕은 하지만 결국 구매율은 똑같으니ㅋㅋㅋㅋ 삼성도 손해 볼 순 없느니 따라가는 것,
302,어차피 샘송은 씨타입 호환 되는 거니까 뺀만큼 가격 저렴해지면 이득이긴하겠다,
303,아니 이어폰이랑 충전기랑 같냐고요~~~!,
304,아니 이걸 왜 따라하는건가요ㅠㅜㅜㅜㅜ,
305,갈아타려는 사람들 생각 좀...,
306,왜빼는데!!!,
307,아 너무들 하네,
308,안 좋은 거만 따라해 왜ㅠㅠ,
309,ㅠㅠ이어폰은 넣어달라구요......,
310,"아니 근데 따라할 거면 비꼬질 말던가 비꼴 거면 따라하질 말던가,,,,",
311,삼성... 그러지 마 ㅠㅠㅠㅠㅜ,
312,삼성충전기 자주고장나는데 왜 빼는거임ㅋㅋ,
313,"가격이라도,,, 내려줘,,,,",
314,따라할게 따로있지 이걸따라하시나요;,
315,대체 왜 별 쓸데도 없는 것까지 자꾸 따라 하는 걸까? 반응 안 좋은 걸 알 텐데...,
316,이번 애플 발표회때도 애플이 자랑스럽게 환경을 위해 다른 브랜드도 동참하세요!!라고 말했으니..,
317,아 진짜 짜증나네요ㅠㅠ,
318,왜 안좋은 것만 따라하려고 하나....,
319,환경보호한다는 핑계대면 얼마나 욕먹을라나요,
320,ㅋㅋㅋㅋㅋㅋㅋㅋ,
321,애플이 총대 매는 거죠 뭐,
322,아직 팩트가 아니라 전망 아닌가요...?,
323,왜저래....에휴...,
324,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
325,설마... 이상한 짓하지마ㅜ,
326,충전기 이어폰 체크 있어서 빼면 각각2만원씩 총4만원 할인했으면 좋겠네요,
327,아 제발 이러지마,
328,아니... 충전기는 진짜 폰 사용하는데 필수품인데 그걸 구성에서 빼버리다니 진짜 왜 그래요ㅠㅠㅠㅠ,
329,현재하는것 처럼 요청하면 무료로 주면 좋은거 같은데여??? 안쓰면 아까우니까..,
330,아! 요즘에 요청하면 무료로 주나요?,
331,미국에서는 이어폰을 기본구성에서 빼고 요청하면 준다고 기사에 적어져 있어요!,
332,아하!^^ 감사합니다~!!,
333,아니 환경 어쩌고 저쩌고... 하기전에 일단 필요한걸요. 배달시킬때 젓가락 빼달라 하는 것처럼 신청한 사람에 한해서 빼주고 그만큼 가격 절감을 해주던가.... 뭔 기기 팔면서 충전기는 다 빼버리고 이건 환경을 위한거다! 하고 별도 구매 해놓으면 다 장삿속으로만 보여요,
334,그냥 둘이 합병해라,
335,아 진짜ㅋㅋㅋ며칠전에 충전기 사러 갔더니 c타입usb 2만원하던거 c타입c타입으로 바뀌고 3만원에 팔길래 설마했는데.. 할거면 버즈처럼 폰구매시 충전기 할인쿠폰이나 할인..,
336,에이,
337,근데 삼성은 괜찮지 않나요? 충전기 없어도 하나만 사면 다 호환되는데...,
338,나쁜 거 따라 하지 마... 샘송,
339,이어폰이랑 충전기 빼고 가격낮춘다면 괜찮아요충전기야 뭐 사방에 있고 남아도니까... 아이폰은 그게 안되서 그렇지...,
340,블루투스 충전기는 아직 멀었니 삼성?.. 범위 내에 있으면 충전되게해줘..,
341,개....소리....,
342,넌 또 뭐야,
343,좀...,
344,아니 좋은걸 따라해야지 왜 그걸 따라해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
345,아니 확실하지도 않은 걸 기사로 내셨네... 삼성에서 저렇게 한다는 말 1도 없었는데요,
346,예측이 있다~ 를 실화인 것처럼 쓰시면 어떡해요..,
347,222 제목 보고 뭐지 하면서 들어왔다가 내용보고 당황ㅋㅋㅋ,
348,그래서 S21이란겨 S30이란겨 보는 저는 너무 불편해요,
349,왜 이런것만 배워ㅠㅠ,
350,...갤s10e야 우리 오래 함께하자,
351,C타입 이어폰도 좋은 걸로 내줬으면 좋겠다,
352,저러고 애플 욕 먹은 거 모르는 건가..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 따라해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
353,아 진짜 이러지마,
354,진짜 짜증나네....,
355,점점 살기 팍팍해지네요 돈주고 충전기사는 시대라니 ㅠㅍ,
356,아진짜....삼성마저 그러지 말라구요..,
357,아니 대체 왜 쓸데없는 걸 따라하는거여,
358,근데 그래도 샘송은 꽤나 예전부터 씨타입 어댑터를 구성품으로 주지않았나요..? 애플은 씨타입 어댑터를 11프로부터 포함해서 아직 애플을 사용하는 많은 사람들한테는 씨타입 어댑터가 없는데 광고에서 마치 <이미 많은 사람들의 집에 있다>라고 표현해서 욕먹었던 것 같아요!!,
359,어댑터 없애는 건 어쨌든 원가절감한다는 느낌을 없앨 수 없지만 애플을 사용하는 저는 그래도 삼성으ㄴ 양반이라고 봐요 ㅜ,
360,아니...아니.....왜 그러세요.....왜....왜....그러시죠...?,
361,삼성 제발 따라가지말고 뚝심있게 가주세요....,
362,충전기 비싸요ㅠㅠ 애초에 수명이 2년이라고들 하는데 도대체 왜ㅠㅠ,
363,그러지마십쇼...,
364,어차피 집에많은데 안줘도 ㄱㅊ 가격만 빼준다면,
365,삼성 뇌절그만해요......이어폰단자 ㅠㅠㅠㅠㅠㅠ,
366,아 왜 그러는거야 진짜ㅠㅠ,
367,🤦‍♀️,
368,아니 어댑터나 이어폰 뺄 거면 가격이라도 낮추든가 ㅋㅋㅋ,
369,이럴 것 같긴했음...,
370,기타구성품 빠지고 폰 자체 퀄리티가 좋아지면 만족스러울 듯.. 디자인 ㅠ 좀 더 예쁘게 해서 내줬음 좋겟다,
371,ㅋㅋㅋㅋㅋㅋㅋㅋ,
