,comments,label
38,이젠 엘지나 갤럭시나 다 렌즈 많은걸로 나오던데 그 중에서는 아이폰이 젤 디자인 괜찮은 듯(개인적인 생각),1
39,폰을 접는다기보다 태블릿을 접어다닐 수 있게됐다고 생각하면 편해요’^’// 확실히 게임할때나 영상 볼 때 너무 편리ㅜㅜ,1
40,앗 .. 신나서 들어왔는데..언제 쯤 나올까요.........ㅠ,0
41,"지금 아이폰 쓰는데 페메 영통이나 그런 거 할 때 안드로이드랑은 다르게 다른 거 보고 있으면 카메라 화면 꺼지는 게 너무 불편쓰합니다,,,",0
42,헐... 기여으이ㅜㅠㅠㅜㅜㅠ,1
43,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무웃겨욬ㅋㅋㅋㅋㅋㅋ,0
44,강낭콩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽네요,1
45,안맞앜ㅋㅋㅋㅋㅋㅋ근데 왠지 저거대로 끼고 다닐 것 같은 느낌인데욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
46,콩나물 에어팟은 봐도봐도 별루..버즈는 늑낌이 없으니 프로 사야되나,0
47,와 좋다 좋다,1
48,헐,1
49,"부착? 싫어요,,, 카드 들고다닐래여~~",0
50,👏,1
51,이러면 안산다구요..퓨ㅠㅠ,0
52,애플은 출고가를 내려라!!! 내려라!!!,0
53,저렇게해도 안되던데ㅠㅠㅠ,0
54,아 왜...,0
55,너무했네,0
56,그냥 쓰던 폰 써야겠네요,0
57,오 좋은데요!,1
58,홀랭,1
59,퍼플 예뻐요ㅜㅜ,1
60,저렇게 나오면 무적권 삽니다....,1
61,으 너무 불편해요 저는 귀가 진짜 작은 편인데 너무 아파서 안껴요,0
62,삼성페이랑 AS나 문제있을 때 친절함이 좋아요ㅜㅜ 나한테 맞춰! 식이 아니라 유저 맘대로 하나하나 다 커스텀할 수 있는것도 좋아요,0
63,강경 블랙파 ...,1
64,후면카메라 집착광공... 대체 동그라미가 왜 네 개나...,0
65,와 갖고싶다ㅠㅜ,1
66,👍,1
67,진심 모양이랑 색만 예쁘면 다시 삼성으로 갈겁니다...제발 디자인 좀...,0
68,6s 한계에 다다르고 있어요... 제발 연기 안돼ㅜㅠㅠ,0
69,혹시 어떤 기종이신가요? 갤럭시 살려고 했는데ㅜㅜ,1
70,레드 최고><♡,1
71,저번에 봤을 땐 되게 예뻐보였는데... 왜이러죠???? 사진차이인가,0
72,헉 사고싶어졌다..! 버즈..!,1
73,퍼플 예쁘다,1
74,전체적으로 색이 워낙 예쁘게 뽑혀서 컬러풀한걸 갈망했던 사람들에게 불티나게 팔린 거 같아요 ㅋㅋㅋ 진짜 이쁨 ㅠㅠㅠ,1
75,빨리 나와주라... 6s가 힘들어하고있어여 ㅠㅠ,1
76,누가봐도 앞으로봐도 뒤로봐도 블루맞는데.....,1
77,헐 완전 그럴싸해요 댑악,1
78,예쁘다,1
79,"갤21 뭐야 디자인 돌려내옄ㅋㅋㅋㅋㅋㅋㅋㄱ비주얼 충격적인데요..20 울트라가 워낙 못생겼어서 21울트라도 별로 기대 안 했는데.. 갤21이 저를 배신했어요,,",0
80,갤럭시 노트에서 못벗어나는 중,1
81,블랙 예뻐여,1
82,아이폰6가 진작에 ios지원 끊긴거에 비하면대단하네요 ...,0
83,버즈 이번에 통화음질 개선됐을까요 ㅠㅠㅠ 진짜 그게 최대 약점인데,0
84,이쁘다..,1
85,"버즈 넘 예뻐요,,",1
86,"아이폰 4,5 쓸 당시에 핸드폰 볼 때마다 흐뭇했져 너무 예뻤는데...이번 xs 망가지면 아이폰 영원히 안녕ㅠㅠ",1
87,5s 디자인 좋아하는데 홈버튼은 이제 희망 없을거 같아서 저 각진 디자인만 기다렸어서 너무 좋은데 퓨ㅠㅠㅠㅠ 제발 저렇게만 나와라ㅠㅠㅠㅠ 바꾸고만다ㅠㅠㅠㅠ,1
88,꺅 너무 좋아욘 ㅠㅠㅠㅠㅠㅠㅠ,1
89,맞아요 인물사진 최고~~,1
90,색 배합도 젤 예쁨ㅠㅠ,1
91,뭐래...,0
92,"색빼고 괜찮은데 색깔,,,,무슨 싸이언시절,,,,",0
93,5ㅠㅠ저건 아직까지 안팔고 가지고 있어요...,1
94,그럼 무선충전기도 같이 주겟지? 아니면 양아친데,0
95,"1111111111 다음 핸드폰 진짜 갠역시로 가버릴까,,",0
96,7인데 무족권,1
97,갤럭시 폰 보고 이쁘다 생각한거 진짜 첨임,1
98,1세대 팔고 2세대 사야겠네요,1
99,"사실 일상생활에 쓰면서 저렇게까지 줌 할 일이 하나도 없지만 왠지 기능이 저렇게 나오면 사고싶어져요,,",1
100,222 삼성써도 삼성페이 안쓰더라구요...,1
101,너무 예뻐요ㅠㅠㅜㅜㅠ,1
102,엇 예쁜데요?,1
103,"난 무조건 퍼플,,,",1
104,와.. 외계인 ..있는게 .. 분명...,0
105,그린 너무 이쁘지않나요? ㅠㅠ,1
106,와 너무 예뻐요....,1
107,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 케이스 낄거면 정말 괜찮아요,1
108,어제 실버 배송왔는데.............😭😭,1
109,아이폰 5는 모든 색이 다 예뻤어요ㅠㅠ💜💜,1
110,기술은 갤럭시 브랜딩 구축?은 아이폰..,1
111,옐로우 색상 쓰고 있는데 너무 이뻐요ㅠㅠㅠㅠㅠㅠ,1
112,애플이아니라 한국 통신사들이 돈독에 눈 멀은것.. 얘네가 노답입니다,0
113,11월 발표면 한국발매는 더 늦겠네요....,0
114,제니 아이폰 계속 쓰는 중일꺼 같은데ㅋㅋㅋㅋ 그냥 폰 협찬 받으면 그걸로 사진만 찍어 올리고 그래서 가꼼씩 실수로 인스타에 올라오는 사과폰이 귀엽지요,1
115,진짜 대박,1
116,신기하고 대단하고 좋은데 소비지로서 왜 폰을 접어서 써야하는지 필요성을 크게 못 느끼겠어요..,0
117,생각보다 카메라 부분이 안 커서 예쁜 듯ㅜㅜㅜㅜㅜ,1
118,"부착? 싫어요,,, 카드 들고다닐래여~~",0
119,카페에서 와이파이 비번 보는 용도로 딱이네여,1
120,"저는 5s,,,(디자인 똑같은 se도,,) 인생폰 이었죠 .... 근데 부모님이 망치로 깼어요 ....ㅜ.ㅡ",1
121,민트랑 퍼플 실물 봤는데 이쁘더라구요 ㅜㅜ,1
122,오오,1
123,ㄷㄷㄷㄷㄷㄷ기술력 대박이네요,1
124,장난감같당,1
125,카메라 오반데,0
126,퍼플 진짜 제취향저격,1
127,애플 안 살거에용,1
128,진짜 예뻐여...ㅠㅠ,1
129,카메라...셀카카메라나 좀 신경써주세요.....,0
130,안사여....저는 카메라 박살나는 20울트라 살거라구욧!,0
131,엣지 왕 조아요,1
132,"삼페, 펜, 마음대로 다운가능, 덕질 이라 삼성 못 벗어나요",0
133,통화좀 어떻게 해봐 제발..,0
134,퍼플 짱,1
135,헐 어떻게 저러지ㅠㅠ 진짜 난감하겠네요,0
136,멀티테스킹 안되는 것두요 ㅠㅠ 똑같은 유튭 프리미엄인데 왜 안돼 ㅠㅠㅠ,0
137,불편,0
138,6로 5년 버티다가 프로로 넘어왔습니다 ㅠ,0
139,삼성 로고... 구려.... 개인적인 생각입니다...,1
140,취저야 증말..,1
141,핑크....는 없는걸까요 ㅜㅜ,1
142,와 관리 진짜 잘하셨나봐요 외관이 너무 깨끗한데욬ㅋㅋㅋㅋ,1
143,지금 나오는 폴더블폰들의 공통된 문제점이고 기술이 발전되길 기다려야죠 ㅎㅎ  지난 갤럭시 폴더블폰보다 나이지고 있다네요,1
144,😥,0
145,빨리 받고 싶다...,1
146,애플 좋은말 할때 다시 만들어라,0
147,카툭튀만 아니면 봐줄만한데... 카메라 눈 3개 치고는 예쁘게 디자인 된 것 같아요ㅠㅠ 그래도 카툭튀는 좀 고쳤으면 좋겠어요,0
148,그래도 모션같은건 아이폰이 더 편함,1
149,아...에어팟2랑 버즈 둘다 있는데 넘어가고싶어요,1
150,ㅠㅠ,0
151,와우 예뻐요,1
152,로봇청소기같다ㅋㅋㅋㅋㅋㅋ귀엽,1
153,어머 부모님 댁에도 아이폰 하나 놔드려야 겠어요~,1
154,이번 버즈 플러스는 통화음질이 개선되었으면 좋겠어요 지금 버즈는 통화할때마다 그냥 빼고 통화하는데 불편해요ㅠㅠ,0
155,너무 몬생겼다,0
156,😥,0
157,네이비 엄버하다가 폰 잃어버려서 11 사 버렸서요 흑ㅎ으윽흑...,0
158,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게뭐람ㅋㅋㅋ,0
159,용달블루.. 김치냉장고 레드..,0
160,헉 저도 버즈 다음버전 나오면 돈모아서 사야겠어요!!ㅎㅎ,1
161,보라색 ㅠㅠ,0
162,와 진짜 핸드폰 바꾸고 싶게 만드네여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
163,매력..있나?,0
164,에엥 또 엘지가..? 아 그냥 색 좀 내줘라 삼성아.. 엘지 쓰기싫다..,0
165,벨벳 디자인예뻐서 엘지 갈아탈까했는데 가격이 너무 비싸요 ㅜㅜ 용량도 별로안크던데ㅜ,0
166,화이트 샀어용 만족!,1
167,저희 아빠 그래서 중국에 있다가 한국 잠깐 들어왔는데 원래 안 그랬는데 찰칵 소리가 왜 이렇게 커지냐고 서비스센터 가야 한다고 막 그랬어요 ㅋㅋㅋ,0
168,아... 노트10을 보고 믿었건만 S시리즈에서 뒤통수를 맞을 줄이야.....,0
169,덕질은 안드죠 갤럭시 원츄 그리구 지금 본진이 모델인 삼성이 너무 일을 잘해줘서...,0
170,"저도 기계만 사려고 문의했더니, LTE 요금제 사용이 불가능하다고 하더라구요 ㅠㅠ",0
171,모지 생각보다 더 더 완전 예쁜걸...?,1
172,헐 실환가 대박,1
173,써요 항상 시간볼수 있어서 편해요 배터리도 생각보다 많이 안달고요,1
174,텐에스체고,1
175,액정 약한 거만 아니면 바로 살텐데...,1
176,저도 z플립 리뷰 보면서 가장 획기적이라고 느꼈을 때가 상하 화면 분할이 되니까 위에는 영상통화하고 아래로는 카톡이나 인터넷을 할 수 있더라고요! 거기다 사진 찍을 때도 분할해서 카메라 화면을 아래로 하면 캠코더 처럼 편하게 화면 보면서 찍을 수 있어서 편리해보였어요. 근데 넘나 비싼 것..ㅠㅜㅠ,0
177,뭐야 예쁘네요..? 근데 돈이 없네..,1
178,뭐지 아이폰 셀카 원래 저리 어둡게 나오나요..? 신기하네,1
179,아..원래 쓰는 요금제가 싸서 선택지 없어지는 거 싫은데ㅠㅠㅠㅠㅠ...안그래도 기기값도 비싼데 요금제 비싸지면 넘 부담스러워요....,0
180,호황성 짱이에요 맥북 에어팟 아이폰 쓰고 있고 에어드롭 짱 편하고 안 질려요...,1
181,11프로 실물 넘 이뻐용~,1
182,화이트 넘 예뻐ㅜㅜ,1
183,아이폰 프로 뚜드려팼더니 더 이상한거 나옴....,0
184,이러지마라 삼성... 나 휴대폰 뭐쓰라고 이제ㅠㅠ,0
185,....갈아타고 싶은디... ?̊̈ ?̊̈ ?̊̈,1
186,헐 정방향이 없대요....?,0
187,멋있네요 찐팬,1
188,엣지만큼 편한거 없어요ㅠㅠㅠ,0
189,S10 오래보자... 아껴줄게 ㅜㅜ,1
190,오 생각보다는 이쁘네요,1
191,예쁘다ㅠㅠㅠ,1
192,s20+ 쓰는 중인데 지문인식 빼곤 별문제 없이 잘 쓰고 있어요!,1
193,저는 많이 무거운지 모르겠어요 한 1.3 ~ 1.5배? 무거운거 같은데 저는 오늘로 폰 산지3일째인데 적응했슴니당!,1
194,좀만 빨리나와주세요... 제가 핸드폰 1년반이 최대였는데 요번에 안바꾸고 다음에 나온걸로 산다고 버티고 버텨서.. 다음달이 할부 끝나는데ㅠㅠㅠ 왜 10월인가여ㅠㅠ 2달만 빨리 나와주세여ㅠㅠㅠ,1
195,발열ㅠㅠ.. 진짜 키면 5분도 안 되어서 바로 뜨거워져요,0
196,헐.... 다른걸로 씌웁시다 화면 밝기 최대로 해가지고ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 차라리 다 불타버리는게 낫겠어요,0
197,근데 참 케이스 끼기 힘들게 생겪네요...,0
198,버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해,1
199,와 머리로는 블루인거 알겠는데 아무리봐도 실버로밖에 안보여요..,0
200,본폰 갤럭시 공기계 아이폰이 딱 좋은듯ㅋㅋㅋㅋ 갤럭시 노트 짱,0
201,갤럭시,0
202,카메라 고장나서 공기계로 쓰는데도 잘돌아가요진짜👍,1
203,그냥 핸드폰인데 치기니 뭐니 ㅋㅋㅋㅋ경쟁사에서는 더 싼데 충전기 더 좋은거 넣어주더라그러면 소비자로써 엥? 우리도 더 좋은거 넣어줘! 이러는게 맞는데필요한거 못느끼겠던데요^^이러고 있음여 ㅋㅋㅋㅋ물론 반대도 마찬가지,1
204,우와 .. (•'╻'• )꒳ᵒ꒳,1
205,색깔 세개 다 안이쁘다...약간 세련된 폴더폰 생각남,0
206,"11 팔고 12 갖고싶다.,",1
207,이건 좀.... 진짜 깻잎 통조림 같네요,0
208,오 나만 이쁜가부다...,1
209,좀만 기다릴걸ㅠㅠㅠㅠ,1
210,"하,,이번 아이폰 이뻐서 바꾸고싶은데 삼성페이 못잃어",0
211,진짜 기다렸는데 안바꿔야겠다..,0
212,셀카 찍을땐 아이폰이 넘사라..ㅜㅜ 그리고 아이폰은 기능?이 안 질려요..,0
213,가격도 도라방스...,0
214,진짜 분할화면이랑 진짜 진짜 팝업이랑 진짜 너무 좋아요 삼페도,1
215,덕질은 역시 갤럭시,1
216,아주이뻐요😍,1
217,이랬으면 좋았을 것을,1
218,연보라 했는데ㅠㅠㅠㅠㅠㅠㅠ,1
219,다음 폰은 꼭 갤럭시 사야지ㅠㅠ,1
220,진짜 좋아융,1
221,아이폰 너무 어려워요,0
222,11프로 바꾸길 잘했다.. 근데 램은 좀 아쉽긴 하지만..,1
223,진짜 아이폰 5 내 잉생 핸드폰.....,1
224,와 진짜 예쁘네요 ㅠㅠㅠㅠㅠ,1
225,😮,1
226,어플 다운 안 해도 한글파일 좀... 볼 수 있게 흑흑,0
227,바꾸고 싶다 ㅠㅠㅠㅠㅠ 맨날 달 사진 찍고싶을듯,1
228,오 생각보다는 이쁘네요,1
229,폰 자체가 네모난건 예쁜듯..... 좀 가볍게 내주세요ㅠ,1
230,"아 1월에 버즈 오는데,,,,ㅜ",1
231,귀여워 ㅜ ㅜㅜㅜㅠㅠ,1
232,블랙최고최고,1
233,저건 진짜 배경 절대 못 바꿀... 핸드폰이네요...;,0
234,s10 시리즈 좋았잖악!!!,1
235,저 접히는 핸드폰을 시작으로 이것저것 많이 생길거 같아요 뭐든 시도 하는게 좋고 사람들이 접하다 보면 좀 더 좋은 아이디어들이 많아지겠죠 지금의 스마트폰이 생긴것 처럼요. 나중에 화면이 접히는 노트북 같은것도 생겼으면 좋겠네요 아니면 종이처럼 얇고 가벼운 노트북 같은것도..!,1
236,아 진짜 갖거싶어요ㅠㅠㅠㅠㅠ,1
237,헉.. 난 갤럭시만 써야겟다,0
238,"옴메나,,,노트 10 오래 가자,,,,",1
239,와 혹시 쓰니 셀카찍을때 필터뭐써?나 울트란데  사진을 잘 못찍어서ㅠㅠ,1
240,ㅠ ㅠ ㅠ ㅠ ㅠ 스그 넘 사고 싶어요 se특유의 감성이 😖👍👍,1
241,저는 많이 무거운지 모르겠어요 한 1.3 ~ 1.5배? 무거운거 같은데 저는 오늘로 폰 산지3일째인데 적응했슴니당!,1
242,"와,,,, 갤럭시 사고 싶어짐",1
243,와 핑크버즈 뭐야 보석인줄.....,1
244,둘 다 딱히 필요성을 못 느끼겠음...,0
245,레드... 주세요,1
246,제발 나와줘요 폰이 거지꼴인데도 기다리고 있단 말이에요 엉엉,1
247,헐 귀엽다ㅠㅠ,1
248,가격 40만원대로 나온다고 들었는데렌즈 두개 달린 폰은 아닐 것 같은데...저러면 11이랑 달라지는게 없고 가격면에서도 적자날듯,0
249,보라색 샀는데 정말 너무너무 예뻐요 ㅠㅠ,1
250,저 se 4년째 쓰는 중입니다 ㅎㅎ 하하,1
251,브래지어세트 띠용,0
252,직구 한다,1
253,예 제가 그 퍼플입니다 너무 이뻐요,1
254,전 아직도 별로...,0
255,애플만 10년 넘게 써서 갤럭시 갈아탈 엄두 안 나지만... 진짜 좋네요 ㅜㅜ,1
256,끄악,0
257,내 원픽 블랙..의외로 순위권에 없네요,1
258,생각보다 아이폰이 많이 칙칙하군요,1
259,우왕,1
260,아이폰 쓰면서 확실히 저 기능이 절실할 때가 꽤 있긴 해요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0
261,와우... 슬프네요ㅠ,0
262,"씌익,,, 다음 폰은 갤럭시다.,,",0
263,헐 넘 귀엽...,1
264,"저는 예쁘기만 한데용,,?아재폰이라니 안예쁘면 쓰지마세용 ㅋㅋ",1
265,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 뭐얔ㅋㅋㅋㅋㅋㅋㅋ,0
266,오 보라색 예쁘다,1
267,사싷 안드로이드😅,0
268,대체 왜??,0
269,너무 예뻐요ㅠㅠㅠㅠㅠ,1
270,5g진짜  쓰지도못하는데,0
271,"선택으로 바뀐다고 제목에 적지 기자뉨^^,,",1
272,"ㅜ 버즈 2개나 사뒇는데... 다음에 버즈 곱하기 나오면 살게요,,,",1
273,카메라가 1개만 있었다면..,0
274,아.. 저는 저렇게 기판 다 보이는 게 예쁘다고 생각해본 적이 없어요.. 특히 저렇게 속 다 들여다보이는 컴퓨터 본체에 오색찬란 led 설치한 건 촌스러움...,0
275,저랑 같네요... 제발 버텨주세요,0
276,우와,1
277,와 영롱하다....,1
278,"짱예뻐,,,퍼플 갖고 싶어요ㅠㅠ",1
279,아 근데 예쁜 거 같은데 뭔가...,0
280,와...,1
281,아이 색 별로에요오,0
282,사과는 여전히 중간이네요ㅠㅠㅠ 그래도 나오면 바꿔야징,1
283,퍼플이랑 그린 사고싶어요,1
284,헐 정방향이 없대요....?,0
285,이뻐요 ~~,1
286,스그 최고 짱예,1
287,8 쓰는데 너무 좋아요...홈버튼 못잃어ㅜ,1
288,"색을 잘 뽑으세요,,,,,",0
289,보라색 샀는데 정말 너무너무 예뻐요 ㅠㅠ,1
290,15ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
291,갤럭시도 심각하구나,0
292,레드도 실물 예쁘더라구용,1
293,오히려 그대로 유지해야 이미지랑 고객 유치에 유리할텐데.. 에휴휴휴,0
294,음질개선 시급함..,0
295,헐 예쁘단,1
296,와 쌌다브로,1
297,퍼플 짱 ㅠㅠ 운 좋게 세 번째로 간 대리점에서 딱 하나 남아 있는 거 샀지영 ✌🏻,1
298,모든기종 다 볼 수 있게 하지도 않고 막아버리네갤럭시노트10+ 버전확인하고 삭제하고 다시깔아도안뜨던데ㅋㅋㅋㅋㅋㅋ 업데이트 할라니까 이미 최신버전ㅎ,0
299,맞아요 2018년 때 아이폰이었는데 해외에서도 찰칵 소리 났어요ㅠㅜ 작년에는 갤럭시로 바꿔 갔는데 소리 안나고 매우 좋았습니다 ㅎㅎㅎ,1
300,se만의 그 디자인 기대했는데 너무 8이랑 비슷 ㅠ 아쉽네요,0
301,"그래도 카메라 2개인게 낫다,, 아이폰 11 처음 출시됐을 때 징그럽다고 했는데 잘만 쓰고 있는 나,,, 아이폰 11 오래가자,,",1
302,"약정 한참 남았는데.,.,딥블루 너무 갖고싶다.,.,😭",1
303,아 진짜 핸드폰 치기 좀 그만해요ㅠㅠㅠㅠ,0
304,충전기????? 적당히 하지...,0
305,오늘사려구했는데 재고없다고해서ㅜㅜ,1
306,와 좋은디요?,1
307,"넘 예쁘다,,,",1
308,아니 근데 저게 아떻게 가능하지 저 화면 켜놓고 한 이주 내버려뒀나...???,0
309,📥,1
310,레드 아니면 화이트 사고싶당,1
311,진짜 이상한데..예쁘다는 사람들 꽤 있구나..카메라 3개 달려 나올때부터 너무 싫었음 왜저렇게 카메라에 집착하지,0
312,파워레인저 감성 ㄷ,0
313,넴 번인현상 자체가 OLED 문제라서 LCD는 괜찮습니당,1
314,노트10사길 잘한것같아요,1
315,샘숭 우리 평생 함께가요 *^^*,1
316,이잉 1세대 있는데 바꾸고 싶다,1
317,그렇게라도 해야지..ㅋㅋ,0
318,헐 완전 예쁘다...,1
319,발열 넘 심한 것 같아여,0
320,11로 버텨봅니다..!,1
321,"엄청 편해요! 인식률도 좋고 .,, 근데 이 시국 들어서 무쓸모 됐어요,, 마스크 때문에 비번 치고 다닙니다 ㅠㅠ",1
322,우와....... 아 폰 넘 멀쩡해서 바꿀 이유 없는데 ㅠㅠ 바꾸고싶어요,1
323,퍼플 갖고 싶어용 'ㅅ',1
324,ㅋㅋㅋ 제가 저때 5 썻죠.. 6까지 쓰고 하차했는데 12 다시 쓰고 싶어요!,1
325,갤럭시나 애플이나 카메라 다 못생겼어요,0
326,이번에 폰 바꿨는데 더 심해졌어요 케랑 음슴체 메...,0
327,갤럭시 앱페어   자주쓰는거    엣지패널에  저장해놓고 필요할때 바로 분활화면 띄우기  진짜 편해요. 티케팅 할때 꿀ㅋㅋㅋ 캡쳐 화면링크는 쇼핑할때 꿀이고요..아이폰도 좋았지만  갤럭시 갈아타고 만족도 최고예요ㅋㅋ,1
328,이뿌다이뿌다,1
329,아 좋아ㅠㅠ 내가 원하던 스타일로 다시 돌아왔네ㅠ,1
330,버즈 플러스 사려고 고장난 줄이어폰으로 버티고 있어요ㅠㅠ,1
331,와 진짜 좋다,1
332,ㅋㅋㅋㅋㅋㅋㅋㅋ 와 위에 댓보고 애플안쓰지만 그래도 저탄소배출에 앞장서는구나.... 했는데 더 심각한 환경오염은 모른체 하는거보고 애플 걍 멍멍이 소리했단거 알고갑니닼ㅋㅋㅋㅋㅋㅋ,0
333,어제 실버 배송왔는데.............😭😭,0
334,퍼플 너무 예뻐서 프로랑 고민중 ㅠㅠ,1
335,아.. 저는 저렇게 기판 다 보이는 게 예쁘다고 생각해본 적이 없어요.. 특히 저렇게 속 다 들여다보이는 컴퓨터 본체에 오색찬란 led 설치한 건 촌스러움...,0
336,와 .... 저거있음 일단 패드는 필요없겠다,1
337,저는 레드❤️,1
338,예쁜데 블루도 좋아요,1
339,Whyrano.....,0
340,1되면 애플로 갈아타야지,1
341,아니 왜 점점 더 날로먹지,0
342,엑슨데 자꾸 눈에 밟힘 바꿔야 하는 건가...,1
343,와 예쁘다,1
344,제발 레드 하세요ㅠㅠㅠㅠ 레드 세상이쁨 텐과는 또다른 쨍한 다홍빨강이라구여ㅠㅠ,1
345,넘 별로,0
346,노캔 기능 있었으면 저것보다 한참 더 비쌌겠죠...? 전 생각보다 싸서 놀랐어요ㅋㅋㅋㅋㅋ,0
347,헐 정방향이 없대요....?,0
348,7플 쓰는데 약간 끌리네요 빨리 나왔으면ㅠㅠ,1
349,👍,1
350,인덕션.....ㅠㅠㅠㅠ,0
351,헉.. 선명하지도않은데 뭐가신기한거지?하고 봤는데 세상에..전 달사진도 충격이었어요ㄷㄷ,0
352,핑크 와...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ11pro 골드로 바꿨는데.. 하.. 기다릴걸... 짱예다..,1
353,갤럭시에서 딱 탐나는 건 동영상 화질이요.. 근데 애플 UI가 꾸미지 않아도 예쁜 느낌이라 좋아요. 안드로이드는 자유롭게 사용자보고 꾸며~이런 느낌인데 꾸미는 걸 귀찮아 하는 저는 애플이 편해용..,0
354,👍,1
355,화이트 샀어요 짱예,1
356,옐로우랑 민트 진짜 이쁘다 하....,1
357,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 근데 디자인 진짜 지금봐도 예뿜...,1
358,아니 근데 5G 지원하는 폰 기종이면 LTE도 지원을 할 텐데 통신사에서 자기들 고가 요금제 팔아먹으려고 일부러 통신사 통해 구매할 때는 5G 요금제만 가능하도록 하는 거 완전 잘못된 거 아닌가요? 이런 건 공정위에서 조사하고 처벌해야 할 것 같은데,0
359,S10 오쥐인 내가 낫다..,0
360,저는 어짜피 전화 안써서뭐... ㅇㅅㅇ... 디자인이 이쁘다면 가슴아프겠지만 ㅜㅜㅜㅜㅜㅜㅜㅜ,1
361,뭔가 생긴거부터가 장난감같음,0
362,엇.. 버즈 살려고 했는데 조금 더 기다려야겠네요,1
363,카메라...셀카카메라나 좀 신경써주세요.....,0
364,하늘색예뿌네요 ㅠ,1
365,우와왕!!!,1
366,오오 괜찮네,1
367,어플 다운 안 해도 한글파일 좀... 볼 수 있게 흑흑,0
368,저는..퍼플인데 화이트가 눈에 아른거려요...ㅠㅠㅠ 케이스도 어울리는거 없고 투명껴도 살짝 탁해지던데 저만 그런가유 ㅠ,0
369,발열짱심해요 충전기 꼽아놓으면 터질것같음그리고 버즈랑 연동 진~~~~짜 안돼요 지지직거림,0
370,가지고싶은데ㅠㅠㅠㅠㅠ 통신사가 한정되어있던디요ㅠㅠㅠㅠ,1
371,우왕....갖고싶다,1
372,"갤s105g 확인 못했서요,,,엉엉",0
